auctionItemId,auctionHouse,imageUrl,listingType,dateOfSale,grade,salePrice,certNumber
3657482510107739595,eBay,https://d1w8cc2yygc27j.cloudfront.net/3657482510107739595/-787619983416889368.jpg,Auction,2024-10-12T00:38:00,8,47.51,24418652
-6811761317698520851,eBay,https://d1w8cc2yygc27j.cloudfront.net/-6811761317698520851/4733973812613981730.jpg,Auction,2024-09-17T02:12:01,9,48.84,94628039
-8005140106886368096,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8005140106886368096/-6725640276277678280.jpg,Auction,2024-06-14T00:00:00,6,4.25,85440306
8128191155262002921,eBay,https://d1w8cc2yygc27j.cloudfront.net/8128191155262002921/5185712137619856243.jpg,Auction,2024-03-25T02:51:00,8,26.88,31590377
606350,Goldin Auctions,https://s3-us-west-2.amazonaws.com/cu-apr/auctions/1101965640375086714/7185224331923472689/images/1.jpg,Auction,2023-03-15T00:00:00,10,156,20228437
-585004373110170552,eBay,https://d1w8cc2yygc27j.cloudfront.net/-585004373110170552/-1772547008706349984.jpg,Auction,2022-10-23T19:09:21,9,43,26779628
-685546740243434017,eBay,https://d1w8cc2yygc27j.cloudfront.net/-685546740243434017/8792533215294447215.jpg,Auction,2021-04-13T01:11:37,8,43.04,48007316
-535447031193545755,eBay,https://d1w8cc2yygc27j.cloudfront.net/-535447031193545755/-8012606481422249795.jpg,Auction,2021-03-30T02:38:23,0,40.6,28876004
42388637797625796,eBay,https://d1w8cc2yygc27j.cloudfront.net/42388637797625796/8538093151727520493.jpg,Auction,2021-03-16T02:50:54,9,85,20566412
436123,Sirius Sports Auctions,https://s3-us-west-2.amazonaws.com/cu-apr/auctions/8985385237797597843/5274908948305393595/images/1.jpg,Auction,2021-02-11T00:00:00,6,5.63,48598143
-806217141002759759,eBay,https://d1w8cc2yygc27j.cloudfront.net/-806217141002759759/-5225715509896036188.jpg,Auction,2020-07-26T20:48:51,8,89.99,81630401
-8443619253685066274,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8443619253685066274/-6106281241445237245.jpg,Auction,2020-04-23T03:00:56,9,72,43243323
-2887941904715132259,eBay,https://d1w8cc2yygc27j.cloudfront.net/-2887941904715132259/7040267743020691198.jpg,Auction,2020-01-16T20:26:09,8,34,45377322
8760476087798622047,eBay,https://d1w8cc2yygc27j.cloudfront.net/8760476087798622047/-2502715528004914733.jpg,Auction,2019-05-29T18:30:24,8,6.61,11760219
-2136713802362170053,eBay,https://d1w8cc2yygc27j.cloudfront.net/-2136713802362170053/3322918681399228444.jpg,Buy It Now,2019-04-18T18:21:14,8,27.99,06606628
-2269080371504557424,eBay,https://d1w8cc2yygc27j.cloudfront.net/-2269080371504557424/-6296162910455624955.jpg,Auction,2018-05-29T18:56:14,10,113.37,26206708
-7342348248363007703,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7342348248363007703/-2418877042507183862.jpg,Buy It Now,2018-04-05T15:15:19,8,19.79,14886446
138342,Heritage Auctions,https://s3-us-west-2.amazonaws.com/cu-apr/auctions/-3577818639529828699/-6713336716442419179/images/1.jpg,Auction,2017-12-03T00:00:00,10,96,16001588
-6377118481859349010,eBay,https://d9nvuahg4xykp.cloudfront.net/-6377118481859349010/-5129258385753141044.jpg,Auction,2017-11-12T18:48:28,8,3.34,11416813
-4038609720172404683,eBay,https://d9nvuahg4xykp.cloudfront.net/-4038609720172404683/-8670388816166755738.jpg,Auction,2017-09-03T16:54:08,9,29,30463114
8535718698079614391,eBay,https://d9nvuahg4xykp.cloudfront.net/8535718698079614391/-4131818929111693901.jpg,Auction,2017-07-17T20:00:42,6,6.68,16232588
1747753654717825353,eBay,https://d9nvuahg4xykp.cloudfront.net/1747753654717825353/4745559335775767289.jpg,Best Offer,2017-07-10T02:29:16,9,33,23759283
7730746568807997830,eBay,https://d9nvuahg4xykp.cloudfront.net/7730746568807997830/8881449608061666090.jpg,Auction,2016-11-02T19:16:31,10,92.11,20228437
